CODCLI;VLATEND;NUMITENS;DATA;LIMCRED
1033;144,18;7;03/05/2013;1000
1144;212;2;07/05/2013;4000
958;477;1;06/05/2013;3000
1220;447,45;7;06/05/2013;6000
716;342,1;3;07/05/2013;60000
1236;232,5;2;06/05/2013;2500
1054;362,74;8;07/05/2013;2000
1144;449,6;5;06/05/2013;4000
1213;551;7;06/05/2013;4000
1144;195,996;2;06/05/2013;4000
652;186;1;08/05/2013;6200
684;599,5;7;07/05/2013;8500
1233;303,81;7;08/05/2013;4000
1134;236,152;2;08/05/2013;5000
765;274,49;8;08/05/2013;8500
137;1021,5;1;08/05/2013;10000
1281;553,23;11;08/05/2013;2500
611;281,9;9;08/05/2013;3000
434;1154,91;21;08/05/2013;2000
1256;498,061;8;08/05/2013;800
834;2079;1;09/05/2013;12500
1033;201,598;5;09/05/2013;1000
17;582,98;4;09/05/2013;3000
423;167,49;6;09/05/2013;2810
10;307,4;3;09/05/2013;10000
410;1402,212;1;10/05/2013;20000
684;374,25;6;09/05/2013;8500
1220;390,802;6;13/05/2013;6000
1054;277,39;10;13/05/2013;2000
15;371,85;10;10/05/2013;500
410;4240;9;10/05/2013;20000
715;600;1;10/05/2013;20000
1171;223,8;2;13/05/2013;10000
431;286;2;14/05/2013;2200
740;418,5;1;13/05/2013;60000
123;830,25;1;13/05/2013;9500
137;810;1;13/05/2013;10000
410;592;2;14/05/2013;20000
740;114;1;14/05/2013;60000
75;720;1;14/05/2013;23000
684;233,197;7;14/05/2013;8500
765;188,83;8;14/05/2013;8500
834;689,38;9;14/05/2013;12500
434;749,59;15;15/05/2013;2000
1114;336,19;12;16/05/2013;8000
423;101,58;4;15/05/2013;2810
1167;153,622;5;15/05/2013;6000
410;1015;2;16/05/2013;20000
1033;401,6;8;16/05/2013;1000
120;566,16;3;17/05/2013;15000
150;391,2;2;17/05/2013;5000
174;303,8;2;17/05/2013;10000
112;421,68;4;17/05/2013;100000
179;1171,7;5;17/05/2013;15000
12;678,82;4;17/05/2013;10000
122;699,04;4;17/05/2013;16000
132;828,8;4;17/05/2013;12000
1226;701,63;21;16/05/2013;3000
684;200,22;4;16/05/2013;8500
434;151,4;2;16/05/2013;2000
459;147;3;17/05/2013;1000
410;1924,72;6;17/05/2013;20000
716;347,83;4;18/05/2013;60000
685;1111;8;17/05/2013;4600
431;50;1;17/05/2013;2200
462;360;1;17/05/2013;10000
15;476,374;11;17/05/2013;500
434;69;1;17/05/2013;2000
434;69;1;17/05/2013;2000
1226;193,78;3;17/05/2013;3000
740;153,87;6;20/05/2013;60000
1179;297,09;3;20/05/2013;2000
1114;317,04;6;20/05/2013;8000
684;409,32;9;20/05/2013;8500
1233;160,16;2;20/05/2013;4000
1144;254,428;6;20/05/2013;4000
1054;309,02;11;20/05/2013;2000
1220;462,884;11;20/05/2013;6000
