CLIENTE;VL_DEV;QT_DEV
12;385,97;1
114;469,47;1
137;20743,43;13
145;359,22;2
185;2225,57;5
196;1067,64;8
261;623,42;3
269;4015,49;2
392;407,34;2
461;276;1
429;14506,68;16
665;3376,82;23
1196;587,24;3
704;8070,2;3
709;1013,87;8
1228;5172,41;3
1234;873,92;4
2946;14854,8;6
2928;470,05;4
1163;11368,35;11
1564;12379,4;1
963;907,2;2
869;199,9;2
1683;63,37;1
1817;13088,11;14
916;4699,12;8
1489;8391,8;16
1617;5750,5;8
1616;7627,33;15
1529;7073,1;8
2335;351,45;5
3953;1239,19;13
2474;287,17;1
2812;706;7
2820;659,32;8
3308;84,08;1
3404;1803,86;11
3023;2188,09;8
3242;1584,48;11
3820;58;1
3469;56;1
3483;535,72;6
4092;8160,16;11
3516;1191,73;5
3580;4142,83;19
3748;44,28;1
3764;3753,5;2
3925;785,8;3
4457;110094,88;15
4362;478,88;7
4459;5380,16;9
4242;11417,16;2
4170;74,03;4
4538;345,46;4
5454;5797;2
4915;16059,4;10
5779;606,7;4
6452;563;2
4515;1976,8;8
4581;1133,98;5
6246;627,37;6
5057;1338,36;10
5084;1441,56;8
5152;5900,77;10
5079;680;1
6272;112;1
5976;262,71;1
5724;1470,06;2
6457;8417,84;7
7149;251,7;2
6088;130;1
6902;495,56;3
6508;4021,66;6
6252;400,9;6
6692;2316;2
6975;36844,15;4
6840;9992,72;9
7373;1184,7;3
7356;329;1
7351;10190,33;16
7673;221,09;1
8798;1807,02;3
9906;524,58;1
9744;27,86;1
86;4455,63;3
165;72,45;1
174;2632;4
184;1410,38;4
209;4868,24;10
274;1459,21;3
624;15125;4
615;54,34;1
740;5636,21;10
2707;27,49;2
2036;149,2;2
2449;2038,56;1
1258;1707,4;2
1256;203,96;2
859;21,95;1
2011;523,21;1
1438;13204,61;8
1601;16,9;1
1449;899,17;12
1588;6412,62;5
2306;50;1
2758;738,95;4
3908;389,32;4
2806;2877,6;2
2979;10330,45;2
3118;98,7;1
2962;619,2;1
3183;458;2
3830;3188,26;7
3534;1294,3;8
3860;1170,67;3
3638;130,6;3
3569;452,57;2
4208;6112,66;12
5626;312,6;5
5717;1718;6
5893;285,88;1
