CODCLI,dcadastro_dias,d1,d2,d3,dmedia,ddesvio,r,f,v,ultcompjanela,clr,clf,clv,rfv,cluster
5,3893,2,5,5,4,1.7320508075688772,0,336,263140.29,2024-01-31,3,3,2,8,high value costumers
6,3898,32,30,36,32.6666666666667,3.0550504633038935,2395,53,15447.99,2017-07-11,2,2,1,5,mid value costumers
7,3725,70,70,56,65.3333333333333,8.082903768654761,3431,6,1159.81,2014-09-09,0,2,1,3,low value costumers
8,3925,4,1,15,6.66666666666667,7.371114795831994,1850,117,75782.24,2019-01-07,2,1,1,4,low value costumers
9,3920,42,7,28,25.6666666666667,17.61628034896508,2627,88,37845.51,2016-11-21,0,1,1,2,low value costumers
10,3919,77,4,11,30.6666666666667,40.27819923151149,8,428,1004677.2,2024-01-23,3,0,0,3,low value costumers
11,2375,491,10,8,169.666666666667,278.2846264768022,1835,7,2942.2799999999997,2019-01-22,2,2,1,5,mid value costumers
12,3911,7,7,12,8.66666666666667,2.886751345948129,0,235,155136.51,2024-01-31,3,3,2,8,high value costumers
15,3918,8,11,13,10.6666666666667,2.516611478423583,8,470,217380.61,2024-01-23,3,0,2,5,mid value costumers
16,3919,15,6,18,13,6.244997998398398,3519,29,13176.04,2014-06-13,0,2,1,3,low value costumers
17,3919,25,62,223,103.333333333333,105.27266185165708,33,252,371072.48,2023-12-29,3,3,2,8,high value costumers
21,3913,7,1,6,4.66666666666667,3.2145502536643185,2464,190,100347.86,2017-05-03,2,3,2,7,high value costumers
22,3823,62,21,56,46.3333333333333,22.143471573656495,3634,6,1150.81,2014-02-18,0,2,1,3,low value costumers
23,3278,70,125,71,88.6666666666667,31.46956201368766,2312,13,3954.8,2017-10-02,2,2,1,5,mid value costumers
24,3687,2515,399,370,1094.66666666667,1230.1302099100458,27,5,9761,2024-01-04,3,2,1,6,mid value costumers
25,3919,56,6,85,49,39.96248240537617,78,320,636148.06,2023-11-14,3,3,0,6,mid value costumers
29,3901,7,7,7,7,0,2536,156,120111.06999999999,2017-02-20,2,1,2,5,mid value costumers
35,3922,55,30,3,29.3333333333333,26.00640946638604,1737,113,25081.65,2019-04-30,2,1,1,4,low value costumers
36,3890,8,6,58,24,29.46183972531247,3743,9,2429.27,2013-11-01,0,2,1,3,low value costumers
37,3920,5,24,98,42.3333333333333,49.13586605864736,1926,29,10452.17,2018-10-23,2,2,1,5,mid value costumers
39,3794,132,708,21,287,368.7966919591335,55,245,255707.2,2023-12-07,3,3,2,8,high value costumers
41,3264,15,42,210,89,105.65509926170151,2316,29,9455.43,2017-09-28,2,2,1,5,mid value costumers
46,3743,29,40,10,26.3333333333333,15.17673658377628,3381,11,2405.7,2014-10-29,0,2,1,3,low value costumers
47,3912,8,6,7,7,1,3807,15,14434.43,2013-08-29,0,2,1,3,low value costumers
48,1980,5,6,1,4,2.6457513110645907,1,327,744940.09,2024-01-30,3,3,0,6,mid value costumers
49,3926,57,159,21,79,71.58212067269312,1204,111,29550.83,2020-10-14,1,1,1,3,low value costumers
50,3893,35,22,21,26,7.810249675906654,29,308,105995.22,2024-01-02,3,3,2,8,high value costumers
51,3922,186,747,693,542,309.4850561820393,306,16,4165.7,2023-03-31,3,2,1,6,mid value costumers
54,3704,537,390,157,361.333333333333,191.6150655176501,2277,7,1198,2017-11-06,2,2,1,5,mid value costumers
56,3724,40,7,35,27.3333333333333,17.7857620959388,3333,30,20299.99,2014-12-16,0,2,1,3,low value costumers
57,3901,45,41,13,33,17.435595774162696,2987,27,14654.88,2015-11-27,0,2,1,3,low value costumers
61,2732,24,21,22,22.3333333333333,1.5275252316519468,2490,12,4308.5,2017-04-07,2,2,1,5,mid value costumers
62,3913,35,35,1546,538.666666666667,872.3762567455245,2256,6,1654.08,2017-11-27,2,2,1,5,mid value costumers
66,3773,230,111,15,118.666666666667,107.7048435927249,3082,6,964.2,2015-08-24,0,2,1,3,low value costumers
71,1939,91,19,16,42,42.46174749112429,407,90,100983.12,2022-12-20,3,1,2,6,mid value costumers
72,3108,1,2,18,7,9.539392014169456,5,153,194022.9,2024-01-26,3,1,2,6,mid value costumers
74,3906,75,81,61,72.3333333333333,10.263202878893768,1183,51,48104.15,2020-11-04,1,2,1,4,low value costumers
75,3914,7,7,7,7,0,1,176,324948.71,2024-01-30,3,1,2,6,mid value costumers
76,1262,7,7,27,13.6666666666667,11.547005383792516,1,109,127023.37,2024-01-30,3,1,2,6,mid value costumers
77,3900,1325,26,611,654,650.5666760601868,1301,17,7749.39,2020-07-09,1,2,1,4,low value costumers
79,3921,148,6,7,53.6666666666667,81.69659315622245,3429,32,6305.74,2014-09-11,0,2,1,3,low value costumers
80,3901,7,27,7,13.6666666666667,11.547005383792516,1,115,137023.65,2024-01-30,3,1,2,6,mid value costumers
81,3901,7,7,7,7,0,1,174,364081.09,2024-01-30,3,1,2,6,mid value costumers
84,3879,2478,14,61,851,1409.219287407038,1219,10,2541.99,2020-09-29,1,2,1,4,low value costumers
86,3871,7,7,7,7,0,1,140,282870.69,2024-01-30,3,1,2,6,mid value costumers
87,3703,43,35,42,40,4.358898943540674,3491,7,1912.87,2014-07-11,0,2,1,3,low value costumers
88,3892,7,27,7,13.6666666666667,11.547005383792516,1,127,180106.15,2024-01-30,3,1,2,6,mid value costumers
90,3914,347,496,388,410.333333333333,76.96969100453329,2683,4,806,2016-09-26,0,2,1,3,low value costumers
93,3487,21,8,8,12.3333333333333,7.505553499465135,343,182,59351.77,2023-02-22,3,3,1,7,high value costumers
95,3925,4,7,1,4,3,415,249,180646.95,2022-12-12,3,3,2,8,high value costumers
96,3892,7,7,20,11.3333333333333,7.505553499465135,8,97,108715.93,2024-01-23,3,1,2,6,mid value costumers
97,3880,554,53,91,232.666666666667,278.93069629091264,1212,15,3742.46,2020-10-06,1,2,1,4,low value costumers
98,3192,9,26,20,18.3333333333333,8.621678104251709,447,35,21096.92,2022-11-10,3,2,1,6,mid value costumers
101,3893,4,135,1975,704.666666666667,1102.0890768596398,1261,28,19424.8,2020-08-18,1,2,1,4,low value costumers
103,2022,1,6,5,4,2.6457513110645907,0,309,1033265.73,2024-01-31,3,3,0,6,mid value costumers
105,3746,1,1,3,1.66666666666667,1.1547005383792515,0,335,456007.13,2024-01-31,3,3,0,6,mid value costumers
108,3821,115,57,1281,484.333333333333,690.5427816821585,1755,21,7773.26,2019-04-12,2,2,1,5,mid value costumers
109,3926,1,25,27,17.6666666666667,14.46835627614047,3514,41,15042.72,2014-06-18,0,2,1,3,low value costumers
112,3911,7,12,23,14,8.18535277187245,7,249,405871.67,2024-01-24,3,3,2,8,high value costumers
