"CODCLI";"dcadastro_dias";"d1";"d2";"d3";"dmedia";"ddesvio";"freq";"tgasto";"Y";"VL_DEV";"QT_DEV";"COMPROU";"r";"f";"v";"rfv";"cluster"
5;3893;2;5;5;4;1.73205080756888;336;263142.017;9;233748;11;"S";3;4;4;11;"diamond customers"
10;3919;77;4;11;30.6666666666667;40.2781992315115;428;1004680.061;14;199895;19;"S";3;4;4;11;"diamond customers"
12;3911;7;7;12;8.66666666666667;2.88675134594813;235;155135.942;22;38597;1;"S";3;4;4;11;"diamond customers"
15;3918;8;11;13;10.6666666666667;2.51661147842358;470;217379.808;9;71318;6;"S";3;4;4;11;"diamond customers"
17;3919;25;62;223;103.333333333333;105.272661851657;252;371068.84;NA;55032;3;"N";2;4;4;10;"diamond customers"
24;3687;2515;399;370;1094.66666666667;1230.13020991005;5;9761;NA;0;0;"N";2;1;2;5;"silver customers"
39;3794;132;708;21;287;368.796691959134;245;255707.088;NA;344314;3;"N";1;4;4;9;"diamond customers"
48;1980;5;6;1;4;2.64575131106459;327;744939.736;17;9153741;5;"S";3;4;4;11;"diamond customers"
50;3893;35;22;21;26;7.81024967590665;308;105996.44;72;292817;7;"S";2;4;4;10;"diamond customers"
72;3108;1;2;18;7;9.53939201416946;153;194020.519;20;1555111;11;"S";3;4;4;11;"diamond customers"
75;3914;7;7;7;7;0;176;324944.964;15;1120259;5;"S";3;4;4;11;"diamond customers"
76;1262;7;7;27;13.6666666666667;11.5470053837925;109;127023.983;15;349405;1;"S";3;4;4;11;"diamond customers"
80;3901;7;27;7;13.6666666666667;11.5470053837925;115;137023.59;15;0;0;"S";3;4;4;11;"diamond customers"
81;3901;7;7;7;7;0;174;364078.858;7;225063;4;"S";3;4;4;11;"diamond customers"
86;3871;7;7;7;7;0;140;282869.474;15;445563;3;"S";3;4;4;11;"diamond customers"
88;3892;7;27;7;13.6666666666667;11.5470053837925;127;180108.119;15;518216;3;"S";3;4;4;11;"diamond customers"
96;3892;7;7;20;11.3333333333333;7.50555349946513;97;108715.527;22;65296;1;"S";3;4;4;11;"diamond customers"
103;2022;1;6;5;4;2.64575131106459;309;1033263.664;6;4028146;16;"S";3;4;4;11;"diamond customers"
105;3746;1;1;3;1.66666666666667;1.15470053837925;335;456005.387;5;9694346;18;"S";3;4;4;11;"diamond customers"
112;3911;7;12;23;14;8.18535277187245;249;405871.856;34;775186;10;"S";3;4;4;11;"diamond customers"
120;3911;7;7;35;16.3333333333333;16.1658075373095;280;239799.387;7;572918;4;"S";3;4;4;11;"diamond customers"
122;3911;7;28;14;16.3333333333333;10.6926766215636;267;221617.057;7;248592;4;"S";3;4;4;11;"diamond customers"
