CODCLI,dcadastro_dias,d1,d2,d3,dmedia,ddesvio,r,f,v,Y,clr,clf,clv,rfv,cluster
5,3893,2,5,5,4,1.7320508075688772,0,336,263140.29,9,3,3,2,8,alto valor
6,3898,32,30,36,32.666666666666664,3.0550504633038935,2395,53,15447.99,NA,2,2,1,5,médio valor
7,3725,70,70,56,65.33333333333333,8.082903768654761,3431,6,1159.81,NA,0,2,1,3,baixo valor
8,3925,4,1,15,6.666666666666667,7.371114795831994,1850,117,75782.24,NA,2,1,1,4,baixo valor
9,3920,42,7,28,25.666666666666668,17.61628034896508,2627,88,37845.51,NA,0,1,1,2,baixo valor
10,3919,77,4,11,30.666666666666668,40.27819923151149,8,428,1004677.2,14,3,0,0,3,baixo valor
11,2375,491,10,8,169.66666666666666,278.2846264768022,1835,7,2942.2799999999997,NA,2,2,1,5,médio valor
12,3911,7,7,12,8.666666666666666,2.886751345948129,0,235,155136.51,22,3,3,2,8,alto valor
15,3918,8,11,13,10.666666666666666,2.516611478423583,8,470,217380.61,9,3,0,2,5,médio valor
16,3919,15,6,18,13,6.244997998398398,3519,29,13176.04,NA,0,2,1,3,baixo valor
17,3919,25,62,223,103.33333333333333,105.27266185165708,33,252,371072.48,NA,3,3,2,8,alto valor
21,3913,7,1,6,4.666666666666667,3.2145502536643185,2464,190,100347.86,NA,2,3,2,7,alto valor
22,3823,62,21,56,46.333333333333336,22.143471573656495,3634,6,1150.81,NA,0,2,1,3,baixo valor
23,3278,70,125,71,88.66666666666667,31.46956201368766,2312,13,3954.8,NA,2,2,1,5,médio valor
24,3687,2515,399,370,1094.6666666666667,1230.1302099100458,27,5,9761,NA,3,2,1,6,médio valor
25,3919,56,6,85,49,39.96248240537617,78,320,636148.06,NA,3,3,0,6,médio valor
29,3901,7,7,7,7,0,2536,156,120111.06999999999,NA,2,1,2,5,médio valor
35,3922,55,30,3,29.333333333333332,26.00640946638604,1737,113,25081.65,NA,2,1,1,4,baixo valor
36,3890,8,6,58,24,29.46183972531247,3743,9,2429.27,NA,0,2,1,3,baixo valor
37,3920,5,24,98,42.333333333333336,49.13586605864736,1926,29,10452.17,NA,2,2,1,5,médio valor
39,3794,132,708,21,287,368.7966919591335,55,245,255707.2,NA,3,3,2,8,alto valor
41,3264,15,42,210,89,105.65509926170151,2316,29,9455.43,NA,2,2,1,5,médio valor
46,3743,29,40,10,26.333333333333332,15.17673658377628,3381,11,2405.7,NA,0,2,1,3,baixo valor
47,3912,8,6,7,7,1,3807,15,14434.43,NA,0,2,1,3,baixo valor
48,1980,5,6,1,4,2.6457513110645907,1,327,744940.09,17,3,3,0,6,médio valor
49,3926,57,159,21,79,71.58212067269312,1204,111,29550.83,NA,1,1,1,3,baixo valor
50,3893,35,22,21,26,7.810249675906654,29,308,105995.22,72,3,3,2,8,alto valor
51,3922,186,747,693,542,309.4850561820393,306,16,4165.7,NA,3,2,1,6,médio valor
54,3704,537,390,157,361.3333333333333,191.6150655176501,2277,7,1198,NA,2,2,1,5,médio valor
56,3724,40,7,35,27.333333333333332,17.7857620959388,3333,30,20299.99,NA,0,2,1,3,baixo valor
57,3901,45,41,13,33,17.435595774162696,2987,27,14654.88,NA,0,2,1,3,baixo valor
61,2732,24,21,22,22.333333333333332,1.5275252316519468,2490,12,4308.5,NA,2,2,1,5,médio valor
62,3913,35,35,1546,538.6666666666666,872.3762567455245,2256,6,1654.08,NA,2,2,1,5,médio valor
66,3773,230,111,15,118.66666666666667,107.7048435927249,3082,6,964.2,NA,0,2,1,3,baixo valor
71,1939,91,19,16,42,42.46174749112429,407,90,100983.12,NA,3,1,2,6,médio valor
72,3108,1,2,18,7,9.539392014169456,5,153,194022.9,20,3,1,2,6,médio valor
74,3906,75,81,61,72.33333333333333,10.263202878893768,1183,51,48104.15,NA,1,2,1,4,baixo valor
75,3914,7,7,7,7,0,1,176,324948.71,15,3,1,2,6,médio valor
76,1262,7,7,27,13.666666666666666,11.547005383792516,1,109,127023.37,15,3,1,2,6,médio valor
77,3900,1325,26,611,654,650.5666760601868,1301,17,7749.39,NA,1,2,1,4,baixo valor
79,3921,148,6,7,53.666666666666664,81.69659315622245,3429,32,6305.74,NA,0,2,1,3,baixo valor
80,3901,7,27,7,13.666666666666666,11.547005383792516,1,115,137023.65,15,3,1,2,6,médio valor
81,3901,7,7,7,7,0,1,174,364081.09,7,3,1,2,6,médio valor
84,3879,2478,14,61,851,1409.219287407038,1219,10,2541.99,NA,1,2,1,4,baixo valor
86,3871,7,7,7,7,0,1,140,282870.69,15,3,1,2,6,médio valor
87,3703,43,35,42,40,4.358898943540674,3491,7,1912.87,NA,0,2,1,3,baixo valor
88,3892,7,27,7,13.666666666666666,11.547005383792516,1,127,180106.15,15,3,1,2,6,médio valor
90,3914,347,496,388,410.3333333333333,76.96969100453329,2683,4,806,NA,0,2,1,3,baixo valor
93,3487,21,8,8,12.333333333333334,7.505553499465135,343,182,59351.77,NA,3,3,1,7,alto valor
95,3925,4,7,1,4,3,415,249,180646.95,NA,3,3,2,8,alto valor
96,3892,7,7,20,11.333333333333334,7.505553499465135,8,97,108715.93,22,3,1,2,6,médio valor
97,3880,554,53,91,232.66666666666666,278.93069629091264,1212,15,3742.46,NA,1,2,1,4,baixo valor
98,3192,9,26,20,18.333333333333332,8.621678104251709,447,35,21096.92,NA,3,2,1,6,médio valor
101,3893,4,135,1975,704.6666666666666,1102.0890768596398,1261,28,19424.8,NA,1,2,1,4,baixo valor
103,2022,1,6,5,4,2.6457513110645907,0,309,1033265.73,6,3,3,0,6,médio valor
105,3746,1,1,3,1.6666666666666667,1.1547005383792515,0,335,456007.13,5,3,3,0,6,médio valor
108,3821,115,57,1281,484.3333333333333,690.5427816821585,1755,21,7773.26,NA,2,2,1,5,médio valor
109,3926,1,25,27,17.666666666666668,14.46835627614047,3514,41,15042.72,NA,0,2,1,3,baixo valor
112,3911,7,12,23,14,8.18535277187245,7,249,405871.67,34,3,3,2,8,alto valor
113,3906,28,28,14,23.333333333333332,8.082903768654761,2647,87,35393.96,NA,0,1,1,2,baixo valor
114,3527,15,8,14,12.333333333333334,3.7859388972001824,2414,99,40865.21,NA,2,1,1,4,baixo valor
116,3922,14,7,7,9.333333333333334,4.041451884327381,405,239,111311.4,NA,3,3,2,8,alto valor
117,3922,5,24,55,28,25.238858928247925,2087,211,151185.95,NA,2,3,2,7,alto valor
119,3920,58,8,6,24,29.46183972531247,2897,95,31854.76,NA,0,1,1,2,baixo valor
120,3911,7,7,35,16.333333333333332,16.165807537309522,0,280,239799.31,7,3,3,2,8,alto valor
122,3911,7,28,14,16.333333333333332,10.692676621563626,0,267,221616.12,7,3,3,2,8,alto valor
123,3915,15,41,28,28,13,85,354,289074.73,86,3,3,2,8,alto valor
124,3921,14,14,7,11.666666666666666,4.041451884327381,2612,159,107579.48,NA,0,1,2,3,baixo valor
126,3922,8,18,2,9.333333333333334,8.082903768654761,715,370,234438.16,NA,1,3,2,6,médio valor
127,3922,13,3,26,14,11.532562594670797,449,283,180346.18,NA,3,3,2,8,alto valor
130,3136,5,28,16,16.333333333333332,11.503622617824933,394,11,53935.33,NA,3,2,1,6,médio valor
131,3925,1,552,8,187,316.1186486115617,439,155,137220.49,NA,3,1,2,6,médio valor
132,3911,7,7,6,6.666666666666667,0.5773502691896257,0,240,220996.3,27,3,3,2,8,alto valor
135,3925,18,49,8,25,21.37755832643195,3348,37,25442.67,NA,0,2,1,3,baixo valor
137,3920,65,34,28,42.333333333333336,19.857828011475306,42,382,396955.97,69,3,3,2,8,alto valor
138,3443,130,14,14,52.666666666666664,66.97263122599658,3145,14,17559,NA,0,2,1,3,baixo valor
139,3915,6,3,13,7.333333333333333,5.131601439446884,2968,63,35067.88,NA,0,1,1,2,baixo valor
142,3912,18,26,345,129.66666666666666,186.5270311063073,68,210,153501.33,122,3,3,2,8,alto valor
145,3913,14,17,1,10.666666666666666,8.504900548115382,471,97,41750.07,NA,3,1,1,5,médio valor
149,3918,1551,1,1759,1103.6666666666667,960.5838502355394,471,9,3192.44,NA,3,2,1,6,médio valor
150,3911,7,7,12,8.666666666666666,2.886751345948129,0,169,122510.8,49,3,1,2,6,médio valor
151,3822,64,90,99,84.33333333333333,18.175074506954115,532,39,20648.82,NA,3,2,1,6,médio valor
152,3891,5,2,7,4.666666666666667,2.516611478423583,2095,157,82747.1,NA,2,1,1,4,baixo valor
153,3675,30,16,46,30.666666666666668,15.01110699893027,418,12,8571.88,NA,3,2,1,6,médio valor
156,3919,36,159,28,74.33333333333333,73.43250869562699,1224,110,36394.34,NA,1,1,1,3,baixo valor
157,3859,41,71,55,55.666666666666664,15.01110699893027,2942,32,35687.14,NA,0,2,1,3,baixo valor
158,1092,5,24,5,11.333333333333334,10.969655114602888,777,14,3794.79,NA,1,2,1,4,baixo valor
160,3281,29,14,45,29.333333333333332,15.50268793897798,2554,51,44131.08,NA,2,2,1,5,médio valor
163,3807,117,107,301,175,109.23369443537099,646,9,13612.82,NA,1,2,1,4,baixo valor
164,3845,8,15,19,14,5.5677643628300215,3688,9,1108.82,NA,0,2,1,3,baixo valor
165,3704,433,249,93,258.3333333333333,170.1920483845627,464,21,4366.61,NA,3,2,1,6,médio valor
167,3926,1668,19,1129,938.6666666666666,840.8152789604464,727,16,4158.42,NA,1,2,1,4,baixo valor
169,2710,14,43,336,131,178.12635964393365,797,14,7600.35,NA,1,2,1,4,baixo valor
172,3924,27,30,28,28.333333333333332,1.5275252316519468,1862,66,24818.18,NA,2,1,1,4,baixo valor
173,3921,13,15,14,14,1,3102,59,16519.58,NA,0,1,1,2,baixo valor
