CODCLI;VENDAS;DATA
559;388,80;03/05/2013
1033;144,18;03/05/2013
199;200,20;02/05/2013
1144;212,00;07/05/2013
958;477,00;06/05/2013
1220;447,45;06/05/2013
716;342,10;07/05/2013
1236;232,50;06/05/2013
1054;362,74;07/05/2013
1144;449,60;06/05/2013
1213;551,00;06/05/2013
1144;196,00;06/05/2013
652;186,00;08/05/2013
684;599,50;07/05/2013
1233;303,81;08/05/2013
1134;236,15;08/05/2013
765;274,49;08/05/2013
137;1021,50;08/05/2013
1281;553,23;08/05/2013
611;281,90;08/05/2013
434;1154,91;08/05/2013
1256;498,06;08/05/2013
834;2079,00;09/05/2013
1033;201,60;09/05/2013
25;214,00;09/05/2013
17;582,98;09/05/2013
423;167,49;09/05/2013
10;307,40;09/05/2013
410;1402,21;10/05/2013
684;374,25;09/05/2013
1220;390,80;13/05/2013
1054;277,39;13/05/2013
15;371,85;10/05/2013
559;300,00;10/05/2013
410;4240,00;10/05/2013
715;600,00;10/05/2013
1171;223,80;13/05/2013
431;286,00;14/05/2013
740;418,50;13/05/2013
123;830,25;13/05/2013
137;810,00;13/05/2013
410;592,00;14/05/2013
740;114,00;14/05/2013
199;210,28;14/05/2013
75;720,00;14/05/2013
684;233,20;14/05/2013
765;188,83;14/05/2013
834;689,38;14/05/2013
434;749,59;15/05/2013
1114;336,19;16/05/2013
423;101,58;15/05/2013
1167;153,62;15/05/2013
410;1015,00;16/05/2013
1033;401,60;16/05/2013
120;566,16;17/05/2013
150;391,20;17/05/2013
174;303,80;17/05/2013
112;421,68;17/05/2013
179;1171,70;17/05/2013
12;678,82;17/05/2013
122;699,04;17/05/2013
132;828,80;17/05/2013
1226;701,63;16/05/2013
684;200,22;16/05/2013
434;151,40;16/05/2013
142;1475,70;16/05/2013
459;147,00;17/05/2013
410;1924,72;17/05/2013
716;347,83;18/05/2013
685;1111,00;17/05/2013
431;50,00;17/05/2013
462;360,00;17/05/2013
15;476,37;17/05/2013
434;69,00;17/05/2013
434;69,00;17/05/2013
1226;193,78;17/05/2013
740;153,87;20/05/2013
1179;297,09;20/05/2013
1114;317,04;20/05/2013
684;409,32;20/05/2013
1233;160,16;20/05/2013
1144;254,43;20/05/2013
1054;309,02;20/05/2013
1220;462,88;20/05/2013
1253;226,90;21/05/2013
1213;740,40;22/05/2013
765;313,50;21/05/2013
1171;338,86;21/05/2013
199;806,94;21/05/2013
684;424,63;22/05/2013
708;79,90;22/05/2013
834;280,70;22/05/2013
410;4400,68;22/05/2013
684;37,49;23/05/2013
142;155,20;22/05/2013
434;598,81;22/05/2013
739;399,50;22/05/2013
123;300,00;22/05/2013
824;496,40;22/05/2013
431;168,00;22/05/2013
410;2998,00;23/05/2013
10;563,58;23/05/2013
716;750,00;23/05/2013
17;474,88;23/05/2013
601;129,30;23/05/2013
1256;376,14;23/05/2013
459;105,84;23/05/2013
431;20,00;25/05/2013
1171;1066,65;27/05/2013
462;1573,00;27/05/2013
434;104,00;25/05/2013
684;365,84;12/06/2013
410;8002,40;31/05/2013
765;455,35;28/05/2013
142;930,50;13/06/2013
824;426,72;29/05/2013
338;114,75;31/05/2013
559;255,00;29/05/2013
1033;385,10;13/06/2013
716;1802,18;13/06/2013
